id,paper_location,description,value
P6a_cci_distribution,Sec5/R7,national CCI diag (8 markets w/ national series): c2 domestic-percentile spread,"pctile of global c2 in national dist ranges 43-86%; c1 8-41%; skew range [-0.85,0.14]"
P6b_percentile_trigger,Sec5/R7,RW-share rank corr: level trigger vs percentile-rank trigger (monotone transform),Spearman rho=0.5650 (p=0.005); mean |diff|=18.04pp
P7a_rho_fisher_se,AppC/R10,Fisher-z 90% CIs added for all rho (appendixC_with_se.csv),25 correlations; median 90% CI half-width=0.054
P7b_cutoff_loco,AppC/R10,0.40 cutoff: 3 countries below; boundary pair & CI overlap,"below-0.40: NZL,GRC,TUR; boundary TUR(0.376) vs CZE(0.415) -> 90% CIs OVERLAP (cutoff fragile)"
P7c_crisis_rho,Sec5/R10,crisis-window sub-period rho (8 national markets): GFC median vs full median,full median=0.57; GFC median=0.77; COVID median=0.94
P8_publag_12m,Sec3.2/R4,12m EXP mean under publication lag 0 / 1 / 2 months,lag0 EXP -7.49(p0.0e+00) | lag1 -7.27(p0.0e+00) | lag2 -6.57(p0.0e+00)
P8_vintage_note,Sec3.2/R4,vintage availability,final-vintage series used; ALFRED real-time vintage NOT pulled (documented in vintage_availability_note.md); Option B = final-vintage stability
P2_pct5,Sec4/Prio2,"min-regime pct5: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.81; MR-RW=+6.5 EXP-RW=-13.2; 97-00 32/33
P2_pct10,Sec4/Prio2,"min-regime pct10: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.43; MR-RW=+9.0 EXP-RW=-7.7; 97-00 34/49
P2_pct15,Sec4/Prio2,"min-regime pct15: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.25; MR-RW=+6.7 EXP-RW=-5.1; 97-00 20/118
P2_abs20,Sec4/Prio2,"min-regime abs20: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.84; MR-RW=+6.8 EXP-RW=-12.6; 97-00 32/33
P2_abs30,Sec4/Prio2,"min-regime abs30: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.61; MR-RW=+9.6 EXP-RW=-8.8; 97-00 47/56
P2_abs40,Sec4/Prio2,"min-regime abs40: feasible, Spearman vs base, MR-RW & EXP-RW gaps, EXP eps in 97-00",feas=23/23 (infeas:none); rho=0.49; MR-RW=+8.8 EXP-RW=-7.7; 97-00 36/48
P2_baseline_gaps,Sec4/Prio2,baseline pooled 12m MR-RW & EXP-RW gaps (reference),MR-RW=+6.59pp EXP-RW=-15.50pp
P3_bRW_signs,Sec4.2/Prio3,unrestricted middle-band slope b_RW: negative / positive / insignificant(raw),"neg=16, pos=7; sig raw p<0.05=6/23; reject after BH=0/23"
P3_bRW_magnitude,Sec4.2/Prio3,"b_RW economic magnitude: median, range, median |CI half-width|","median b_RW=-0.0063; range [-0.0204,+0.0102]; median 95%CI hw=0.0131"
P3_validated_share,Sec4.2/Prio3,validated-RW interpretation (DEFINITION stated) + markets flagged,DEF: positional RW share is 'validated' only where the unrestricted b_RW fails to reject the imposed RW at BH q<0.05; markets whose RW restriction REJECTS (0): none -> their RW% overstates efficiency
P1_boot_c1_width,Prio1,block24 95% CI width for c1: median across markets (B=1000),median c1 width=2.93; c2 width=2.68
P1_boot_share_width,Prio1,block24 95% CI width for RW/EXP share: median across markets,RW share width median=67.2pp; EXP share width=61.6pp
P1_boot_bEXP_signstable,Prio1,markets whose b_EXP 95% CI (block24) excludes 0 (stays negative),5/23 keep b_EXP<0; boundary frac median=0.02; degenerate median=0.010
P1_boot_design,Prio1,bootstrap design,"full grid RE-ESTIMATED each draw (validated fast grid==repo); B=1000; seed=20260722; wild=Rademacher on spec-1 residuals (x,z fixed); block=moving-block of (dep,x,z) triples, grid bounds recomputed per draw; CIs=2.5/97.5 pctile"
P1_pooled_gaps_ci,Prio1,"pooled 12m gaps, calendar-month cross-section resample + full re-estimation (B=1000): 95% CI","MR-RW mean +8.18 [+2.51,+15.41]; EXP-RW mean -10.88 [-18.23,-4.32]"
P1_boot_wild_conditional,Prio1,wild bootstrap (conditions on observed CCI path): median 95% CI widths + b_EXP sign stability,"c1 width 2.14, c2 width 1.00; RW share width 37pp, EXP share width 13pp; b_EXP<0 CI in 6/23; boundary~0, degenerate 0.001"
P1_boot_scheme_note,Prio1,"threshold vs share precision, scheme dependence","threshold LEVELS moderately precise (c2 +/-0.5-1.4); regime SHARES precise under conditional wild inference (EXP +/-13pp) but wide when the trigger is resampled (block: EXP +/-60pp) -> report wild as primary, block as conservative bound; per-market b_MR/b_EXP CIs exclude 0 in only 0-6/23 -> individual slope stars are imprecise"
P41_wald_dk,Sec6/Prio4,"Wald H0: b_EXP==b_above90 (DK 11 lags): diff, cov term, chi2, p",b_EXP=-11.28 b_above90=-4.36 diff=-6.92; Var(diff)=113.412 cov=-12.019; chi2=0.42 p=0.5158
P41_wald_block,Sec6/Prio4,"same equality test, calendar-block bootstrap (L=24, B=1000): SE, p",diff=-6.92; block SE=13.88; p=0.6182 -> TAR high-band NOT distinguishable from fixed>90
P5_lag0,Sec3.2/Prio5,"pub-lag 0m EXP-RW gap with corrections: gap, DK p, block12/24/36 p, thr shift",gap=-16.17pp n_EXP=667; DK p=0.020; block p(12/24/36)=0.046/0.017/0.008; thr shift=0.00
P5_lag1,Sec3.2/Prio5,"pub-lag 1m EXP-RW gap with corrections: gap, DK p, block12/24/36 p, thr shift",gap=-15.90pp n_EXP=583; DK p=0.025; block p(12/24/36)=0.055/0.044/0.025; thr shift=0.95
P5_lag2,Sec3.2/Prio5,"pub-lag 2m EXP-RW gap with corrections: gap, DK p, block12/24/36 p, thr shift",gap=-12.26pp n_EXP=663; DK p=0.049; block p(12/24/36)=0.103/0.093/0.077; thr shift=1.25
P8a_common_level_spread,Sec5/Prio8,percentile position of common CCI levels across national dists (min-max),97.7:4-28%; 98.4:9-35%; 100.0:38-51%; 101.4:63-87% -> a fixed level of 100 spans the 38th-51th national percentile
P8b_athex_norm,Sec5/Prio8,athex local trigger: shares under amplitude / z-score / percentile normalization,raw RW=31% | zscore RW=56% | pctile RW=32% (z-score is affine->identical; pctile monotone)
P8b_bist100_norm,Sec5/Prio8,bist100 local trigger: shares under amplitude / z-score / percentile normalization,raw RW=42% | zscore RW=47% | pctile RW=9% (z-score is affine->identical; pctile monotone)
P9_iid,Sec4.1/Prio9,placebo B=1000 iid DGP: markets with emp p_rss<0.05; median real RSS pctile; median null band-share,real RSS-impr exceeds null (emp p<0.05) in 9/23; median real pctile=91.4; median null band-share=25.5%
P9_block12,Sec4.1/Prio9,placebo B=1000 block12 DGP: markets with emp p_rss<0.05; median real RSS pctile; median null band-share,real RSS-impr exceeds null (emp p<0.05) in 3/23; median real pctile=80.3; median null band-share=20.7%
P43_recursive_means,Sec6/Prio4.3,recursive forward 12m means by TAR label vs fixed-percentile label (MR/RW/EXP),TAR MR/RW/EXP=8.66/6.56/-16.93 | PCT low/mid/high=7.32/6.56/-21.92 (n=5847)
P43_recursive_predictive,Sec6/Prio4.3,recursive predictive R2 / RMSE / MAE: TAR vs fixed sort,TAR R2=0.0131 RMSE=25.22 MAE=17.85 | PCT R2=0.0084 RMSE=25.28 MAE=17.88
P43_encompassing,Sec6/Prio4.3,"encompassing (DK): does recursive TAR-EXP add over fixed high band, & vice-versa",tar_EXP -18.46(p0.000) pct_hi -14.00(p0.001) | tar_MR +2.31(p0.606) pct_lo -0.42(p0.946)
P43_note,Sec6/Prio4.3,label,"recursive FINAL-VINTAGE (thresholds & percentile cutoffs use only past data; CCI itself is final-vintage, not real-time)"
